r,mr,mrr,hit1,hit3,hit10,count
0,1271.375,0.20169287283878334,0.125,0.25,0.375,8
1,1048.2142857142858,0.02557713155810714,0.0,0.07142857142857142,0.07142857142857142,14
2,2206.439024390244,0.22430523735532465,0.0975609756097561,0.34146341463414637,0.3902439024390244,41
3,1230.25,0.04953287821021998,0.03125,0.0625,0.0625,32
4,944.1438356164383,0.0779773277206216,0.03424657534246575,0.08904109589041095,0.14383561643835616,146
5,1520.3,0.024282662557794748,0.005,0.02,0.065,200
6,3974.89,0.007739954066162818,0.005,0.01,0.01,200
7,3454.5,0.13086462535968646,0.11,0.145,0.165,200
8,1855.135,0.02197889582626885,0.01,0.015,0.04,200
9,3517.9,0.007311350599691426,0.0,0.01,0.025,200
10,1490.935,0.017517220643465302,0.005,0.015,0.03,200
11,3385.54,0.012688092259782662,0.005,0.015,0.03,200
12,1624.77,0.020115381946579997,0.005,0.01,0.055,200
13,999.295,0.08824839030207063,0.055,0.1,0.14,200
14,1418.665,0.03130105739203784,0.01,0.035,0.07,200
15,3692.435,0.019993698432475088,0.005,0.025,0.06,200
16,2820.65,0.03426671330859295,0.02,0.035,0.065,200
17,4328.52,0.031402580223792276,0.025,0.03,0.04,200
18,2593.425,0.007666131704259442,0.0,0.005,0.03,200
19,3819.79,0.0005062192684876446,0.0,0.0,0.0,200
overall,2589.285097192225,0.03557990567240342,0.019438444924406047,0.038876889848812095,0.06417772292502315,3241
