r,mr,mrr,hit1,hit3,hit10,count
0,1237.25,0.285331061237185,0.25,0.25,0.375,8
1,1022.1428571428571,0.016080667475293683,0.0,0.0,0.07142857142857142,14
2,2242.560975609756,0.26567627721656334,0.1951219512195122,0.34146341463414637,0.4146341463414634,41
3,1203.375,0.04929453104279927,0.03125,0.0625,0.0625,32
4,936.8904109589041,0.07118854402558702,0.0273972602739726,0.08904109589041095,0.13013698630136986,146
5,1506.89,0.025397684341378377,0.005,0.02,0.07,200
6,3955.84,0.008234216759800895,0.005,0.01,0.015,200
7,3482.38,0.12474217752093622,0.1,0.135,0.175,200
8,1838.24,0.0238135157853878,0.01,0.025,0.035,200
9,3540.36,0.008523709135931251,0.0,0.01,0.025,200
10,1460.125,0.017696859444567132,0.005,0.015,0.03,200
11,3389.125,0.012330963289044827,0.005,0.01,0.03,200
12,1614.77,0.0232214458696279,0.01,0.02,0.04,200
13,972.355,0.09189588226227613,0.06,0.1,0.145,200
14,1407.705,0.02887490931124737,0.005,0.03,0.075,200
15,3728.09,0.03009166204443923,0.015,0.035,0.07,200
16,2824.05,0.0390197931539113,0.025,0.04,0.07,200
17,4403.97,0.034729659834163706,0.03,0.035,0.045,200
18,2606.685,0.0088582345121126,0.0,0.01,0.03,200
19,3859.61,0.0004562253311952999,0.0,0.0,0.0,200
overall,2594.719531008948,0.03731837252105522,0.02159827213822894,0.04011107682813946,0.06572045664918236,3241
