r,mr,mrr,hit1,hit3,hit10,count
0,1270.125,0.22203289682348354,0.125,0.25,0.375,8
1,965.5,0.019982270014339627,0.0,0.0,0.07142857142857142,14
2,2187.7804878048782,0.2315311497704957,0.14634146341463414,0.2682926829268293,0.36585365853658536,41
3,1244.0625,0.04888892772695923,0.03125,0.0625,0.0625,32
4,955.3493150684932,0.07297133824772752,0.0273972602739726,0.0821917808219178,0.15753424657534246,146
5,1545.515,0.018034319046285257,0.0,0.02,0.045,200
6,3952.635,0.0074886564988834725,0.005,0.01,0.01,200
7,3452.74,0.12551527948276833,0.11,0.13,0.155,200
8,1867.32,0.0246687278126004,0.015,0.02,0.035,200
9,3530.615,0.007466306322199696,0.0,0.005,0.025,200
10,1497.01,0.016861544721725893,0.005,0.015,0.035,200
11,3372.48,0.011874307478108376,0.005,0.005,0.035,200
12,1657.6,0.017263354852011262,0.005,0.01,0.05,200
13,1040.76,0.09327480005614693,0.06,0.09,0.15,200
14,1431.9,0.029544083545459635,0.01,0.03,0.06,200
15,3685.625,0.033159597303419705,0.015,0.04,0.075,200
16,2824.5,0.03967460794427792,0.03,0.04,0.055,200
17,4360.445,0.03468460201381543,0.03,0.035,0.04,200
18,2643.13,0.010056308163340548,0.0,0.02,0.03,200
19,3824.34,0.0005190607879757126,0.0,0.0,0.0,200
overall,2601.046282011725,0.03634192050990854,0.02159827213822894,0.037334156124652886,0.06294353594569577,3241
