Model,MR,MRR,Hit@1,Hit@3,Hit@10
fixed,580.532,0.179,0.107,0.194,0.323
warmup,568.682,0.175,0.105,0.194,0.315
schedule,558.673,0.179,0.105,0.199,0.328
adaptive,576.364,0.18,0.107,0.199,0.325
