Model,MR,MRR,Hit@1,Hit@3,Hit@10
ori,758.1,0.163,0.102,0.178,0.29
fixed,762.694,0.16,0.098,0.169,0.29
warmup,775.809,0.161,0.101,0.174,0.286
schedule,763.066,0.163,0.103,0.173,0.292
adaptive,779.171,0.163,0.104,0.172,0.288
