Model,MR,MRR,Hit@1,Hit@3,Hit@10
fixed,1371.4068,0.082,0.0432,0.0909,0.1477
warmup,1394.8932,0.0753,0.0409,0.0795,0.1455
schedule,1141.067,0.0637,0.0318,0.0545,0.125
adaptive,1080.1193,0.0702,0.0364,0.0727,0.1318
