Model,MR,MRR,Hit@1,Hit@3,Hit@10
fixed,583.527,0.179,0.108,0.193,0.324
warmup,569.379,0.181,0.109,0.199,0.326
schedule,566.362,0.181,0.11,0.199,0.326
adaptive,568.576,0.182,0.109,0.201,0.331
