Model,MR,MRR,Hit@1,Hit@3,Hit@10
fixed,1257.6534,0.0717,0.0386,0.0659,0.1341
warmup,1131.9818,0.1084,0.0636,0.125,0.1773
schedule,1267.4807,0.0506,0.0182,0.05,0.1114
adaptive,1195.5875,0.0548,0.0295,0.0477,0.1023
