Model,MR,MRR,Hit@1,Hit@3,Hit@10
fixed,560.973,0.181,0.107,0.198,0.332
warmup,594.923,0.177,0.107,0.192,0.325
schedule,578.862,0.179,0.11,0.194,0.327
adaptive,555.183,0.179,0.11,0.194,0.325
