r,mr,mrr,hit1,hit3,hit10,count
0,973.625,0.09622310138642011,0.0,0.125,0.25,8
1,963.3571428571429,0.019535149046989265,0.0,0.0,0.07142857142857142,14
2,2393.512195121951,0.23735915439758137,0.17073170731707318,0.2926829268292683,0.3902439024390244,41
3,1082.6875,0.03651519330508962,0.03125,0.03125,0.03125,32
4,890.9589041095891,0.07446286685277498,0.03424657534246575,0.08904109589041095,0.136986301369863,146
5,1457.87,0.024697275455377844,0.005,0.03,0.065,200
6,4249.385,0.007340326159330241,0.005,0.01,0.01,200
7,3720.905,0.11066018490498557,0.095,0.13,0.135,200
8,1761.775,0.024074287207799864,0.01,0.025,0.035,200
9,3723.125,0.00738985082686142,0.0,0.01,0.025,200
10,1309.295,0.01951512896575297,0.01,0.015,0.03,200
11,3665.24,0.01168631797788787,0.005,0.01,0.03,200
12,1555.135,0.021912117695916385,0.01,0.01,0.05,200
13,939.855,0.09336490654654155,0.055,0.11,0.15,200
14,1386.495,0.02845668344571396,0.005,0.04,0.075,200
15,3953.165,0.024734352394335187,0.015,0.03,0.055,200
16,2895.24,0.03602290318211748,0.02,0.04,0.075,200
17,4308.275,0.027351400611781096,0.02,0.03,0.04,200
18,2705.595,0.012514045243233478,0.005,0.015,0.03,200
19,4036.87,0.00038349115081960384,0.0,0.0,0.0,200
overall,2658.9882752236963,0.03481509451651001,0.02005553841406973,0.03949398333847578,0.06201789571120025,3241
