r,mr,mrr,hit1,hit3,hit10,count
0,1216.375,0.20800390773776417,0.125,0.25,0.375,8
1,899.4285714285714,0.002877430960669857,0.0,0.0,0.0,14
2,2255.439024390244,0.22754460461191284,0.14634146341463414,0.2926829268292683,0.34146341463414637,41
3,1166.5,0.049712235556677815,0.03125,0.0625,0.0625,32
4,967.7054794520548,0.0796376623937607,0.0410958904109589,0.0821917808219178,0.1643835616438356,146
5,1643.33,0.022111320820873546,0.005,0.025,0.05,200
6,3936.115,0.016029201587947878,0.015,0.015,0.015,200
7,3503.065,0.12305033585918285,0.105,0.125,0.155,200
8,1964.44,0.01817854851650664,0.005,0.02,0.035,200
9,3594.0,0.00624698332342094,0.0,0.0,0.03,200
10,1496.095,0.012000929665027487,0.005,0.005,0.02,200
11,3379.1,0.012331767273271267,0.005,0.01,0.03,200
12,1617.41,0.025197134507470572,0.01,0.025,0.05,200
13,1052.555,0.08935090836162438,0.06,0.085,0.145,200
14,1533.44,0.030413415819751082,0.01,0.035,0.07,200
15,3777.315,0.02504658210211283,0.015,0.025,0.06,200
16,2841.82,0.01696164387696386,0.005,0.02,0.03,200
17,4299.85,0.03183750360445898,0.025,0.03,0.045,200
18,2704.91,0.006370908021004886,0.0,0.01,0.015,200
19,3830.39,0.00047345531682571314,0.0,0.0,0.0,200
overall,2631.3409441530393,0.034363363796060246,0.020672631903733415,0.03517432891082999,0.05954952175254551,3241
