Model,MR,MRR,Hit@1,Hit@3,Hit@10
ori,669.449,0.147,0.083,0.153,0.277
fixed,1258.314,0.099,0.06,0.106,0.18
warmup,751.192,0.144,0.076,0.158,0.276
schedule,1272.327,0.103,0.062,0.115,0.183
adaptive,711.265,0.144,0.08,0.153,0.276
