r,mr,mrr,hit1,hit3,hit10,count
0,962.125,0.2564257246959959,0.125,0.375,0.375,8
1,976.0,0.013566765392227507,0.0,0.0,0.07142857142857142,14
2,2323.0975609756097,0.15623724718391005,0.12195121951219512,0.17073170731707318,0.1951219512195122,41
3,1106.59375,0.048771843410585075,0.03125,0.0625,0.0625,32
4,886.568493150685,0.07424892279948883,0.03424657534246575,0.0821917808219178,0.136986301369863,146
5,1469.9,0.025502748970760266,0.005,0.03,0.065,200
6,4224.46,0.00869000282672231,0.005,0.01,0.02,200
7,3750.46,0.11014398388155831,0.095,0.125,0.13,200
8,1764.695,0.02979735256953044,0.02,0.025,0.04,200
9,3736.29,0.006912686068079024,0.0,0.005,0.03,200
10,1312.71,0.016679429421649645,0.005,0.015,0.035,200
11,3665.94,0.012401287889966417,0.005,0.01,0.025,200
12,1559.905,0.020980148033212326,0.005,0.015,0.055,200
13,925.205,0.09759119659022657,0.06,0.105,0.16,200
14,1384.355,0.031763629260686606,0.01,0.03,0.075,200
15,3945.715,0.0236295956340818,0.015,0.025,0.05,200
16,2886.535,0.0343083411707976,0.015,0.045,0.07,200
17,4354.115,0.02672796226924035,0.02,0.03,0.04,200
18,2707.125,0.013619663402956199,0.005,0.015,0.03,200
19,4028.635,0.000382939183884785,0.0,0.0,0.0,200
overall,2661.1129281086082,0.034826998704145046,0.02005553841406973,0.037334156124652886,0.061400802221536564,3241
